Date,Open,High,Low,Close,Adj Close,Volume
2017-04-01,2941.176514,2960.449951,2759.000000,2940.139893,2940.139893,0
2017-05-01,2903.699951,3030.302979,2821.500000,2916.000000,2916.000000,0
2017-06-01,2916.000000,3057.340088,2832.100098,3042.280029,3042.280029,0
2017-07-01,3042.280029,3097.750000,2928.899902,2983.250000,2983.250000,0
2017-08-01,2935.600098,3030.302979,2876.300049,2948.679932,2948.679932,0
2017-09-01,2900.000000,3030.302979,2837.800049,3030.302979,3030.302979,0
2017-10-01,2935.159912,3042.370117,2874.300049,3040.050049,3040.050049,0
2017-11-01,3040.050049,3078.080078,2913.399902,2950.699951,2950.699951,0
2017-12-01,2946.600098,3035.000000,2915.000000,3014.270020,3014.270020,0
2018-01-01,3014.270020,3014.270020,2752.899902,2828.000000,2828.000000,0
2018-02-01,2818.699951,2935.000000,2761.500000,2865.000000,2865.000000,0
2018-03-01,2824.800049,2890.000000,2744.100098,2793.000000,2793.000000,0
2018-04-01,2752.500000,2819.800049,2665.100098,2802.000000,2802.000000,0
2018-05-01,2769.000000,2929.229980,2769.000000,2877.000000,2877.000000,0
2018-06-01,2831.500000,2953.000000,2786.899902,2944.500000,2944.500000,0
2018-07-01,2910.399902,2949.500000,2808.199951,2870.000000,2870.000000,0
2018-08-01,2842.800049,3052.199951,2842.800049,3026.899902,3026.899902,0
2018-09-01,2965.399902,3101.000000,2943.600098,2983.000000,2983.000000,0
2018-10-01,2936.699951,3225.500000,2919.500000,3204.000000,3204.000000,0
2018-11-01,3167.699951,3282.899902,3085.100098,3236.000000,3236.000000,0
2018-12-01,3212.199951,3295.100098,3101.899902,3245.000000,3245.000000,0
2019-01-01,3196.000000,3262.000000,3073.100098,3161.000000,3161.000000,0
2019-02-01,3130.300049,3159.800049,3026.500000,3069.000000,3069.000000,0
2019-03-01,3039.199951,3189.899902,3033.899902,3189.500000,3189.500000,0
2019-04-01,3132.800049,3251.100098,3052.800049,3249.300049,3249.300049,0
2019-05-01,3206.500000,3388.699951,32.000000,3362.000000,3362.000000,0
2019-06-01,3310.000000,3388.699951,3128.199951,3196.399902,3196.399902,0
2019-07-01,3160.100098,3299.000000,3126.199951,3296.000000,3296.000000,0
2019-08-01,3278.699951,3492.000000,3222.500000,3436.000000,3436.000000,0
2019-09-01,3436.699951,3476.300049,3302.100098,3400.699951,3400.699951,0
2019-10-01,3421.000000,3493.000000,343.000000,3387.000000,3387.000000,0
2019-11-01,3344.509277,3545.199951,3265.897217,3515.300049,3515.300049,0
2019-12-01,3460.290527,3525.500000,3244.215332,3283.010010,3283.010010,0
2020-01-01,3279.760010,3426.959961,3195.916748,3413.250000,3413.250000,0
2020-02-01,3413.250000,3518.489990,3317.406982,3500.250000,3500.250000,0
2020-03-01,3500.250000,4174.759766,3417.100098,4061.550049,4061.550049,0
2020-04-01,4057.250000,4088.790039,3818.400879,3919.000000,3919.000000,0
2020-05-01,3952.750000,3990.000000,3653.401611,3698.260010,3698.260010,0
2020-06-01,3728.250000,3781.469971,3528.253418,3743.750000,3743.750000,0
2020-07-01,3756.250000,3768.000000,3577.414795,3720.350098,3720.350098,0
2020-08-01,3720.350098,3872.739990,3698.315430,3743.750000,3743.750000,0
2020-09-01,3738.699951,3906.419922,3617.528564,3885.199951,3885.199951,0
2020-10-01,3825.250000,3903.600098,3754.850098,3859.500000,3859.500000,0
2020-11-01,3859.500000,3888.000000,3562.725586,3605.149902,3605.149902,0
2020-12-01,3594.500000,3594.510010,3372.378418,3420.250000,3420.250000,0
2021-01-01,3420.250000,3661.729980,3374.599121,3567.260010,3567.260010,0
2021-02-01,3567.260010,3647.899902,3457.056885,3608.699951,3608.699951,0
2021-03-01,3645.250000,3749.340088,3503.314941,3728.250000,3728.250000,0
2021-04-01,3659.949951,3745.959961,3570.219238,3713.360107,3713.360107,0
2021-05-01,3692.028564,3860.239990,3620.005127,3706.250000,3706.250000,0
2021-06-01,3706.250000,3787.250000,3547.260742,3765.750000,3765.750000,0
2021-07-01,3708.073486,3932.280029,3699.519287,3845.850098,3845.850098,0
2021-08-01,3845.850098,4005.750000,3759.750000,3815.000000,3815.000000,0
2021-09-01,3767.399902,3868.000000,3718.540283,3834.250000,3834.250000,0
2021-10-01,3808.620117,3808.620117,3711.750000,3777.750000,3777.750000,0
2021-11-01,3758.250000,4038.250000,3756.320068,4033.250000,4033.250000,0
2021-12-01,3993.250000,4069.830078,3842.510010,4068.250000,4068.250000,0
2022-01-01,4068.250000,4103.750000,3883.270752,3912.497559,3912.497559,0
2022-02-01,3941.270020,3975.479980,3853.745117,3853.745117,3853.745117,0
2022-03-01,3925.919922,3941.520020,3696.386475,3749.389893,3749.389893,0
2022-04-01,3764.090088,3985.949951,3678.053467,3971.550049,3971.550049,0
2022-05-01,3971.550049,4117.049805,3752.863037,3930.159912,3930.159912,0
2022-06-01,3974.739990,4177.799805,3728.781982,4107.520020,4107.520020,0
2022-07-01,4149.620117,4645.830078,4149.620117,4373.580078,4373.580078,0
2022-08-01,4285.250000,4445.250000,4112.942383,4411.919922,4411.919922,0
2022-09-01,4419.919922,4608.759766,4304.630371,4526.950195,4526.950195,0
2022-10-01,4526.950195,4997.149902,4446.549316,4833.259766,4833.259766,0
2022-11-01,4937.000000,5121.379883,4716.702637,4809.339844,4809.339844,0
2022-12-01,4828.299805,4853.450195,4683.370117,4846.919922,4846.919922,0
2023-01-01,4846.919922,5004.490234,4462.158691,4600.430176,4600.430176,0
2023-02-01,4658.490234,4974.740234,4541.000488,4777.259766,4777.259766,0
2023-03-01,4808.000000,4885.649902,4594.140137,4643.250000,4643.250000,0
2023-04-01,4643.250000,4708.509766,4346.886230,4654.750000,4654.750000,0
2023-05-01,4694.939941,4726.830078,4386.029785,4391.250000,4391.250000,0
2023-06-01,4443.250000,4443.250000,4028.988037,4167.850098,4167.850098,0
2023-07-01,4167.850098,4229.410156,3883.879883,3926.290039,3926.290039,0
2023-08-01,3906.020020,4151.790039,3878.174316,4096.779785,4096.779785,0
2023-09-01,4086.800049,4111.229980,3848.932373,4071.250000,4071.250000,0
2023-10-01,4023.520508,4430.660156,4023.520508,4060.000000,4060.000000,0
2023-11-01,4112.750000,4135.430176,3937.760010,3988.850098,3988.850098,0
2023-12-01,4014.580078,4030.000000,3818.169922,3836.099609,3836.099609,0
2024-01-01,3836.099609,3983.750000,3830.931885,3919.260010,3919.260010,0
2024-02-01,3915.280029,3968.050049,3863.140869,3923.189941,3923.189941,0
2024-03-01,3926.129883,3997.250000,3810.859619,3810.859619,3810.859619,0
2024-04-01,3859.449951,3967.629883,3725.701660,3907.260010,3907.260010,0
2024-05-01,3907.750000,3914.209961,3862.500000,3895.750000,3895.750000,0
